Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
1/1/2014,0:21,Wednesday,VICTORIA PARK STATION,MUPR1,55,60,W,BD,5111
1/1/2014,2:06,Wednesday,HIGH PARK STATION,SUDP,3,7,W,BD,5001
1/1/2014,2:40,Wednesday,SHEPPARD STATION,MUNCA,0,0,,YU,0
1/1/2014,3:10,Wednesday,LANSDOWNE STATION,SUDP,3,8,W,BD,5116
1/1/2014,3:20,Wednesday,BLOOR STATION,MUSAN,5,10,S,YU,5386
1/1/2014,3:29,Wednesday,DUFFERIN STATION,MUPAA,0,0,E,BD,5174
1/1/2014,7:31,Wednesday,NORTH YORK CTR STATION,MUNCA,0,0,,YU,0
1/1/2014,7:32,Wednesday,SHEPPARD STATION,MUNCA,0,0,,YU,0
1/1/2014,7:34,Wednesday,QUEEN STATION,MUNCA,0,0,,YU,0
1/1/2014,7:34,Wednesday,RUNNYMEDE STATION,MUNCA,0,0,,BD,0
1/1/2014,7:53,Wednesday,ST ANDREW STATION,MUNCA,0,0,,YU,0
1/1/2014,8:20,Wednesday,WELLESLEY STATION,MUNCA,0,0,,YU,0
1/1/2014,8:48,Wednesday,KIPLING STATION,MUNOA,5,0,E,BD,0
1/1/2014,8:49,Wednesday,YONGE SHP STATION,MUNOA,6,12,E,SHP,5276
1/1/2014,8:53,Wednesday,ST PATRICK STATION,TUSC,0,0,S,YU,5611
1/1/2014,8:55,Wednesday,YONGE SHP STATION,MUNOA,12,18,E,SHP,5282
1/1/2014,8:58,Wednesday,KENNEDY BD STATION,MUNOA,5,10,W,BD,0
1/1/2014,9:00,Wednesday,JANE STATION,MUNOA,5,0,W,BD,0
1/1/2014,9:00,Wednesday,OLD MILL STATION,MUNOA,5,0,W,BD,0
1/1/2014,9:01,Wednesday,BLOOR STATION,MUNOA,3,0,S,YU,0
1/1/2014,9:10,Wednesday,WILSON CARHOUSE,SUG,0,0,,YU,0
1/1/2014,9:23,Wednesday,SHEPPARD WEST STATION,MUNOA,5,10,S,YU,0
1/1/2014,9:27,Wednesday,SHEPPARD WEST STATION,MUNOA,5,10,S,YU,0
1/1/2014,9:32,Wednesday,SHEPPARD WEST STATION,MUNOA,5,10,S,YU,0
1/1/2014,9:38,Wednesday,BAY STATION,SUDP,5,10,E,BD,5214
1/1/2014,9:38,Wednesday,FINCH STATION,MUNOA,0,0,S,YU,5681
